timestamp,temperature_C,humidity_percent,traffic_index,demand_kWh
2025-05-01 00:00:00,38.81,44.13,0.52,43.62
2025-05-01 01:00:00,21.01,57.07,0.05,36.7
2025-05-01 02:00:00,24.93,81.06,0.42,48.0
2025-05-01 03:00:00,28.37,78.79,0.29,51.23
2025-05-01 04:00:00,31.38,75.54,0.43,52.95
2025-05-01 05:00:00,30.39,68.66,0.03,45.66
2025-05-01 06:00:00,28.69,50.56,0.2,40.17
2025-05-01 07:00:00,24.13,62.19,0.55,42.76
2025-05-01 08:00:00,25.92,71.51,0.76,51.25
2025-05-01 09:00:00,35.17,45.53,0.36,46.45
2025-05-01 10:00:00,29.12,43.31,0.62,42.44
2025-05-01 11:00:00,29.71,75.11,0.45,46.98
2025-05-01 12:00:00,30.93,51.01,0.29,41.71
2025-05-01 13:00:00,40.18,53.37,0.72,51.61
2025-05-01 14:00:00,31.96,59.79,0.51,46.81
2025-05-01 15:00:00,34.32,35.51,0.7,40.79
2025-05-01 16:00:00,34.9,55.55,0.61,46.48
2025-05-01 17:00:00,37.56,72.48,0.94,57.43
2025-05-01 18:00:00,22.14,64.48,0.86,43.56
2025-05-01 19:00:00,28.61,56.56,0.35,44.75
2025-05-01 20:00:00,31.07,55.17,0.01,37.21
2025-05-01 21:00:00,32.86,45.14,0.57,47.48
2025-05-01 22:00:00,31.09,58.96,0.04,43.98
2025-05-01 23:00:00,40.66,67.87,0.67,57.33
2025-05-02 00:00:00,23.26,51.99,0.29,34.06
2025-05-02 01:00:00,22.79,72.64,0.7,45.21
2025-05-02 02:00:00,32.43,57.36,0.72,50.12
2025-05-02 03:00:00,42.65,69.0,0.82,54.4
2025-05-02 04:00:00,26.03,62.03,0.58,44.41
2025-05-02 05:00:00,38.37,70.58,0.92,57.05
2025-05-02 06:00:00,32.77,75.61,0.24,48.89
2025-05-02 07:00:00,34.9,64.59,0.69,54.48
2025-05-02 08:00:00,27.37,63.04,0.88,48.94
2025-05-02 09:00:00,29.4,51.63,0.94,42.67
2025-05-02 10:00:00,30.75,58.29,0.12,41.96
2025-05-02 11:00:00,28.1,78.21,0.95,52.85
2025-05-02 12:00:00,31.67,65.17,0.18,44.45
2025-05-02 13:00:00,29.54,48.7,0.06,41.26
2025-05-02 14:00:00,26.25,80.22,0.76,51.0
2025-05-02 15:00:00,29.97,49.61,0.97,50.44
2025-05-02 16:00:00,35.8,56.53,0.38,47.98
2025-05-02 17:00:00,20.63,59.85,0.08,43.02
2025-05-02 18:00:00,28.04,58.35,0.04,42.17
2025-05-02 19:00:00,19.8,44.88,0.13,36.24
2025-05-02 20:00:00,25.78,56.19,0.66,39.48
2025-05-02 21:00:00,24.14,49.48,0.8,42.34
2025-05-02 22:00:00,28.06,66.16,0.22,46.37
2025-05-02 23:00:00,41.34,64.54,0.85,50.82
2025-05-03 00:00:00,29.8,68.4,0.03,41.9
2025-05-03 01:00:00,22.97,61.99,0.62,44.22
2025-05-03 02:00:00,30.15,69.52,0.74,49.1
2025-05-03 03:00:00,35.99,86.95,0.18,48.47
2025-05-03 04:00:00,27.95,60.14,0.84,50.15
2025-05-03 05:00:00,26.36,59.59,0.41,42.72
2025-05-03 06:00:00,22.71,71.11,0.44,38.91
2025-05-03 07:00:00,31.41,63.55,0.34,47.64
2025-05-03 08:00:00,40.64,78.35,0.84,61.01
2025-05-03 09:00:00,22.82,70.9,0.82,47.73
2025-05-03 10:00:00,41.14,63.49,0.04,51.06
2025-05-03 11:00:00,30.08,44.9,0.62,40.81
2025-05-03 12:00:00,28.5,65.97,0.4,45.54
2025-05-03 13:00:00,30.29,57.16,0.17,49.03
2025-05-03 14:00:00,31.23,59.4,0.95,45.98
2025-05-03 15:00:00,30.85,65.13,0.08,51.75
2025-05-03 16:00:00,30.41,59.96,0.74,48.96
2025-05-03 17:00:00,33.62,59.6,0.04,42.64
2025-05-03 18:00:00,24.36,61.08,0.9,40.5
2025-05-03 19:00:00,34.42,53.51,0.51,47.76
2025-05-03 20:00:00,29.08,50.58,0.24,36.48
2025-05-03 21:00:00,31.0,63.7,0.18,48.82
2025-05-03 22:00:00,30.09,55.28,0.6,46.11
2025-05-03 23:00:00,34.63,67.87,0.88,52.24
2025-05-04 00:00:00,31.46,58.07,0.04,40.45
2025-05-04 01:00:00,29.29,34.98,0.62,37.46
2025-05-04 02:00:00,38.09,69.06,0.15,51.06
2025-05-04 03:00:00,25.42,57.68,0.72,39.6
2025-05-04 04:00:00,31.72,60.95,0.58,45.54
2025-05-04 05:00:00,28.67,58.07,0.85,42.47
2025-05-04 06:00:00,34.7,53.05,0.98,50.23
2025-05-04 07:00:00,24.87,64.1,0.96,44.91
2025-05-04 08:00:00,34.18,64.75,0.93,47.0
2025-05-04 09:00:00,28.09,71.17,0.71,49.82
2025-05-04 10:00:00,33.69,79.8,0.19,49.62
2025-05-04 11:00:00,30.31,64.57,0.96,48.61
2025-05-04 12:00:00,25.26,67.45,0.58,42.17
2025-05-04 13:00:00,26.06,60.62,0.13,44.03
2025-05-04 14:00:00,35.6,44.38,0.61,39.32
2025-05-04 15:00:00,30.05,69.22,0.53,49.89
2025-05-04 16:00:00,31.29,50.97,0.09,47.0
2025-05-04 17:00:00,32.87,65.55,0.95,48.76
2025-05-04 18:00:00,26.35,66.36,0.53,45.81
